易发TV-香蕉出品,#genre#
中视新闻,http://wanjiatv.net/Smartv.php?id=ca73a13c37
亚洲旅游台,http://wanjiatv.net/Smartv.php?id=asiatravel_twn
三立综合台,http://wanjiatv.net/Smartv.php?id=sanlizhonghe
三立台湾台,http://wanjiatv.net/Smartv.php?id=sanlitaiwan
年代新闻,http://wanjiatv.net/Smartv.php?id=niandainews_twn
民视新闻台,http://wanjiatv.net/Smartv.php?id=ftvnew_taiwan
民视台湾台,http://wanjiatv.net/Smartv.php?id=ftvtaiwan_twn
民视第一台,http://wanjiatv.net/Smartv.php?id=lunghuajingdian_twn
民视,http://wanjiatv.net/Smartv.php?id=ftvhd_taiwan
美亚电影台,http://wanjiatv.net/Smartv.php?id=meiyamovie_twn
美食星球,http://wanjiatv.net/Smartv.php?id=foodplanet_twn
龙祥时代,http://wanjiatv.net/Smartv.php?id=lungxiangtime_twn
龙祥时代,http://wanjiatv.net/Smartv.php?id=cb7a1fec69
龙华洋片,http://wanjiatv.net/Smartv.php?id=lunghuawestern_twn
龙华戏剧,http://wanjiatv.net/Smartv.php?id=lunghuaxiju_twn
龙华偶像,http://wanjiatv.net/Smartv.php?id=lunghuaidol_twn
龙华电影,http://wanjiatv.net/Smartv.php?id=xingwei_movie
龙华电影,http://wanjiatv.net/Smartv.php?id=xingwei_movie
靖天卡通,http://wanjiatv.net/Smartv.php?id=jingtiancartoon_twn
靖天国际台,http://wanjiatv.net/Smartv.php?id=jingtianintl_twn
寰宇新闻台,http://wanjiatv.net/Smartv.php?id=huanyuxinwen_twn
华艺moc,http://wanjiatv.net/Smartv.php?id=weishichinese_twn
华艺moc,http://wanjiatv.net/Smartv.php?id=weishichinese_twn
华纳TV,http://wanjiatv.net/Smartv.php?id=WarnerTV
好莱坞电影台,http://wanjiatv.net/Smartv.php?id=hollywoodmovies_twn
非凡新闻,http://wanjiatv.net/Smartv.php?id=feifannews_twn
动物星球,http://wanjiatv.net/Smartv.php?id=animalplanet_twn
東森新闻,http://wanjiatv.net/Smartv.php?id=ettvnews
東森戏剧,http://wanjiatv.net/Smartv.php?id=ettvdrama
東森电影台,http://wanjiatv.net/Smartv.php?id=ettvmovie
东森综合台,http://wanjiatv.net/Smartv.php?id=ettvzhonghe
东森洋片,http://wanjiatv.net/Smartv.php?id=ettvwestern
东森超视,http://wanjiatv.net/Smartv.php?id=ettvsuper
东森财经新闻,http://wanjiatv.net/Smartv.php?id=ettvcaijing_twn
大爱,http://wanjiatv.net/Smartv.php?id=daai_twn
博斯运动II,http://wanjiatv.net/Smartv.php?id=bosisport2_twn
博斯网球,http://wanjiatv.net/Smartv.php?id=bositennis_twn
博斯魅力,http://wanjiatv.net/Smartv.php?id=bosisport1_twn
博斯高球II,http://wanjiatv.net/Smartv.php?id=bosigolf2_twn
博斯高球I,http://wanjiatv.net/Smartv.php?id=bosigolf1_twn
八大综合台,http://wanjiatv.net/Smartv.php?id=badazhonghe
八大戏剧台,http://wanjiatv.net/Smartv.php?id=badadrama
八大第1台,http://wanjiatv.net/Smartv.php?id=badafirst
爱奇艺,http://wanjiatv.net/Smartv.php?id=Qiyi
WWE,http://wanjiatv.net/Smartv.php?id=Wwe
